"search_parameters.q","image_results.position","image_results.title","image_results.link","image_results.image","image_results.width","image_results.height","image_results.image_type"
"cucumber white background stock",1,"Cucumber White Images, Stock Photos ...","https://www.shutterstock.com/search/cucumber+white","https://image.shutterstock.com/image-photo/fresh-green-cucumbers-on-white-260nw-1108918556.jpg",422,280,
"cucumber white background stock",2,"Cucumber Slices Isolated Over White ...","https://www.shutterstock.com/image-photo/cucumber-slices-isolated-over-white-background-126058049","https://image.shutterstock.com/image-photo/cucumber-slices-isolated-over-white-600w-126058049.jpg",600,427,
"cucumber white background stock",3,"Slices Isolated Over White Background ...","https://www.123rf.com/photo_5258017_cucumber-and-slices-isolated-over-white-background-.html","https://previews.123rf.com/images/sedneva/sedneva0907/sedneva090700005/5258017-cucumber-and-slices-isolated-over-white-background-.jpg",1300,883,
"cucumber white background stock",4,"White Background. Stock Photo ...","https://www.123rf.com/photo_64414643_wet-cucumber-isolated-on-white-background-.html","https://previews.123rf.com/images/akepong/akepong1610/akepong161000369/64414643-wet-cucumber-isolated-on-white-background-.jpg",1300,951,
"cucumber white background stock",5,"Cucumber Isolated White Background ...","https://depositphotos.com/182012998/stock-photo-cucumber-isolated-white-background.html","https://st3.depositphotos.com/1364311/18201/i/1600/depositphotos_182012998-stock-photo-cucumber-isolated-white-background.jpg",1600,1063,
"cucumber white background stock",6,"Three Green Cucumbers, White Background ...","https://www.123rf.com/photo_11898617_three-green-cucumbers-white-background-.html","https://previews.123rf.com/images/jarih/jarih1201/jarih120100075/11898617-three-green-cucumbers-white-background-.jpg",1300,866,
"cucumber white background stock",7,"Cucumber White Background Stock ...","https://www.gettyimages.com/photos/cucumber-white-background","https://media.gettyimages.com/photos/closeup-of-cucumber-against-white-background-picture-id1127912081?s=612x612",612,330,
"cucumber white background stock",8,"White Background Stock Photo ...","https://www.123rf.com/photo_9954526_green-cucumber-isolated-on-white-background.html","https://previews.123rf.com/images/kenishirotie/kenishirotie1107/kenishirotie110700013/9954526-green-cucumber-isolated-on-white-background.jpg",1300,866,
"cucumber white background stock",9,"One whole mini green cucumber isolated ...","https://www.alamy.com/one-whole-mini-green-cucumber-isolated-on-white-background-image329182850.html","https://c8.alamy.com/comp/2A3FG2A/one-whole-mini-green-cucumber-isolated-on-white-background-2A3FG2A.jpg",1300,956,
"cucumber white background stock",10,"Big cucumber on white background. Stock ...","https://photodune.net/item/big-cucumber-on-white-background/20127902","https://s3.envato.com/files/228268819/DSC_1374.jpg",590,298,
"cucumber white background stock",11,"Closeup Of Cucumber On White Background ...","https://www.gettyimages.com/detail/photo/close-up-of-cucumber-on-white-background-royalty-free-image/686810201","https://media.gettyimages.com/photos/closeup-of-cucumber-on-white-background-picture-id686810201",1024,684,
"cucumber white background stock",12,"cucumbers on white background Stock ...","https://www.alamy.com/cucumbers-on-white-background-image68202310.html","https://c8.alamy.com/comp/DXXTMP/cucumbers-on-white-background-DXXTMP.jpg",1300,955,
"cucumber white background stock",13,"Slice Cucumber On White Background ...","https://www.dreamstime.com/fresh-slice-cucumber-white-background-isolated-image124828007","https://thumbs.dreamstime.com/z/fresh-slice-cucumber-white-background-isolated-124828007.jpg",1300,893,
"cucumber white background stock",14,"Cucumber on white background — Stock ...","https://depositphotos.com/191155976/stock-photo-cucumber-on-white-background.html","https://st3.depositphotos.com/16163434/19115/i/1600/depositphotos_191155976-stock-photo-cucumber-on-white-background.jpg",1600,1167,
"cucumber white background stock",15,"white background. Clipping path ...","https://www.alamy.com/cucumber-isolated-on-white-background-clipping-path-image350061549.html","https://c8.alamy.com/comp/2B9EK25/cucumber-isolated-on-white-background-clipping-path-2B9EK25.jpg",1300,1260,
"cucumber white background stock",16,"Cucumber White Background Stock Photo ...","https://www.123rf.com/photo_123162288_cucumber-white-background.html","https://previews.123rf.com/images/aukid/aukid1905/aukid190500899/123162288-cucumber-white-background.jpg",1300,866,
"cucumber white background stock",17,"Closeup cucumber on white background ...","https://depositphotos.com/173868624/stock-photo-closeup-cucumber-on-white-background.html","https://st3.depositphotos.com/9379126/17386/i/1600/depositphotos_173868624-stock-photo-closeup-cucumber-on-white-background.jpg",1600,1223,
"cucumber white background stock",18,"a group mini cucumbers isolated on ...","https://www.alamy.com/a-group-mini-cucumbers-isolated-on-white-background-image262013889.html","https://c8.alamy.com/comp/W67NAW/a-group-mini-cucumbers-isolated-on-white-background-W67NAW.jpg",1300,901,
"cucumber white background stock",19,"Fresh Cucumbers On A White Background ...","https://www.dreamstime.com/green-fresh-cucumbers-white-background-d-render-green-fresh-cucumbers-white-background-image127191181","https://thumbs.dreamstime.com/z/green-fresh-cucumbers-white-background-d-render-green-fresh-cucumbers-white-background-127191181.jpg",1600,1290,
"cucumber white background stock",20,"White Background Stock Photo ...","https://www.123rf.com/photo_128202011_fresh-cucumber-isolated-on-white-background.html","https://previews.123rf.com/images/valery121283/valery1212831907/valery121283190700934/128202011-fresh-cucumber-isolated-on-white-background.jpg",1300,913,
"cucumber white background stock",21,"white background Stock Photo ...","https://www.alamy.com/isolated-slice-of-cucumber-on-white-background-image224191997.html","https://c8.alamy.com/comp/R0MR51/isolated-slice-of-cucumber-on-white-background-R0MR51.jpg",1300,1390,
"cucumber white background stock",22,"white background Stock Photo ...","https://www.alamy.com/cucumber-isolated-on-white-background-image332167761.html","https://c8.alamy.com/comp/2A8BFA9/cucumber-isolated-on-white-background-2A8BFA9.jpg",1300,956,
"cucumber white background stock",23,"Cucumber White Background Stock Photo ...","https://www.123rf.com/photo_123162832_cucumber-white-background.html","https://previews.123rf.com/images/aukid/aukid1905/aukid190500952/123162832-cucumber-white-background.jpg",1300,866,
"cucumber white background stock",24,"cucumber slice isolated on a white ...","https://photodune.net/item/cucumber-slice-isolated-on-a-white-background/22276666","https://s3.envato.com/files/250284743/646.jpg",590,356,
"cucumber white background stock",25,"White Background Stock Photo ...","https://www.123rf.com/photo_139510678_cucumber-isolated-on-white-background.html","https://previews.123rf.com/images/akepong/akepong2002/akepong200200155/139510678-cucumber-isolated-on-white-background.jpg",1300,968,
"cucumber white background stock",26,"white background Stock Photo ...","https://www.alamy.com/two-cucumber-isolated-on-white-background-image262621754.html","https://c8.alamy.com/comp/W77CMA/two-cucumber-isolated-on-white-background-W77CMA.jpg",1300,815,
"cucumber white background stock",27,"Cucumber with smooth skin, isolated on ...","https://depositphotos.com/156849304/stock-photo-cucumber-with-smooth-skin-isolated.html","https://st3.depositphotos.com/4185411/15684/i/1600/depositphotos_156849304-stock-photo-cucumber-with-smooth-skin-isolated.jpg",1600,1380,
"cucumber white background stock",28,"Over White Background Stock Photo ...","https://www.123rf.com/photo_17468626_cucumber-and-slices-isolated-over-white-background.html","https://previews.123rf.com/images/rprongjai/rprongjai1301/rprongjai130100026/17468626-cucumber-and-slices-isolated-over-white-background.jpg",1300,792,
"cucumber white background stock",29,"isolated on a white background Stock ...","https://www.alamy.com/group-of-small-baby-cucumbers-isolated-on-a-white-background-image341537576.html","https://c8.alamy.com/comp/2ARJAJG/group-of-small-baby-cucumbers-isolated-on-a-white-background-2ARJAJG.jpg",1300,951,
"cucumber white background stock",30,"Cucumber vegetable closeup isolated on ...","https://www.alamy.com/cucumber-vegetable-closeup-isolated-on-white-background-image327907132.html","https://c8.alamy.com/comp/2A1DCW0/cucumber-vegetable-closeup-isolated-on-white-background-2A1DCW0.jpg",1300,956,
"cucumber white background stock",31,"Fresh Cucumber On White Background ...","https://www.dreamstime.com/fresh-cucumber-isolated-white-background-fresh-cucumber-white-background-image130150187","https://thumbs.dreamstime.com/z/fresh-cucumber-isolated-white-background-fresh-cucumber-white-background-130150187.jpg",1600,1378,
"cucumber white background stock",32,"White Background Stock Photo ...","https://www.istockphoto.com/photo/one-cucumber-isolated-on-white-background-gm1157509211-315862796","https://media.istockphoto.com/photos/one-cucumber-isolated-on-white-background-picture-id1157509211",1024,683,
"cucumber white background stock",33,"White Background Stock Photo ...","https://www.123rf.com/photo_136101077_cucumber-isolated-on-white-background.html","https://previews.123rf.com/images/panor156/panor1561911/panor156191100020/136101077-cucumber-isolated-on-white-background.jpg",1300,955,
"cucumber white background stock",34,"Cucumber On White Background Stock ...","https://www.dreamstime.com/cucumber-white-background-isolated-image104578429","https://thumbs.dreamstime.com/b/sliced-cucumber-white-background-sliced-cucumber-white-background-isolated-104578284.jpg",800,500,
"cucumber white background stock",35,"white background Stock Photo ...","https://www.alamy.com/two-cucumbers-isolated-on-white-background-image262472478.html","https://c8.alamy.com/comp/W70J92/two-cucumbers-isolated-on-white-background-W70J92.jpg",1300,1084,
"cucumber white background stock",36,"Cucumber on white background Royalty ...","https://www.yayimages.com/7027214/cucumber-on-white-background.html","https://image.yayimages.com/1600/photo/cucumber-on-white-background-36382382.jpg",1600,1067,
"cucumber white background stock",37,"White Background Stock Photo ...","https://www.123rf.com/photo_105022674_chop-the-cucumber-on-a-white-background.html","https://previews.123rf.com/images/sergeylapin/sergeylapin1807/sergeylapin180706506/105022674-chop-the-cucumber-on-a-white-background.jpg",1300,866,
"cucumber white background stock",38,"Cucumber slices on white background ...","https://depositphotos.com/158746652/stock-photo-cucumber-slices-on-white-background.html","https://st3.depositphotos.com/13413592/15874/i/1600/depositphotos_158746652-stock-photo-cucumber-slices-on-white-background.jpg",1600,1167,
"cucumber white background stock",39,"Cucumber Against White Background ...","https://www.gettyimages.ae/detail/photo/close-up-of-cucumber-against-white-background-royalty-free-image/1126385212","https://media.gettyimages.com/photos/closeup-of-cucumber-against-white-background-picture-id1126385212",1024,803,
"cucumber white background stock",40,"Fresh pickling cucumber isolated on ...","https://www.pinterest.com/pin/652881277218054581/","https://i.pinimg.com/originals/09/b0/15/09b015dcee2ec01336c31b3fd9d86b6e.jpg",1023,682,
"cucumber white background stock",41,"Fresh Green Cucumbers White Background ...","https://depositphotos.com/221834410/stock-photo-fresh-green-cucumbers-white-background.html","https://st4.depositphotos.com/1992931/22183/i/1600/depositphotos_221834410-stock-photo-fresh-green-cucumbers-white-background.jpg",1067,1700,
"cucumber white background stock",42,"Marinated Pickled Cucumber Isolated On ...","https://www.istockphoto.com/photo/marinated-pickled-cucumber-isolated-on-white-background-gm901642752-248743295","https://media.istockphoto.com/photos/marinated-pickled-cucumber-isolated-on-white-background-picture-id901642752",1024,701,
"cucumber white background stock",43,"isolated on white background Stock ...","https://www.alamy.com/sliced-and-whole-cucumbers-isolated-on-white-background-image262825536.html","https://c8.alamy.com/comp/W7GMJ8/sliced-and-whole-cucumbers-isolated-on-white-background-W7GMJ8.jpg",1300,688,
"cucumber white background stock",44,"Leaves On A White Background Stock ...","https://www.123rf.com/photo_9116497_the-cucumber-white-flowers-and-leaves-on-a-white-background.html","https://previews.123rf.com/images/bloodua/bloodua1103/bloodua110300052/9116497-the-cucumber-white-flowers-and-leaves-on-a-white-background.jpg",866,1300,
"cucumber white background stock",45,"Sliced Cucumber In A White Bowls On ...","https://www.crushpixel.com/stock-photo/sliced-cucumber-white-bowls-on-1513223.html","https://www.crushpixel.com/static14/preview2/sliced-cucumber-white-bowls-on-1513223.jpg",500,375,
"cucumber white background stock",46,"Slices Fresh Cucumber White Background ...","https://depositphotos.com/199031960/stock-photo-slices-fresh-cucumber-white-background.html","https://st4.depositphotos.com/16122460/19903/i/1600/depositphotos_199031960-stock-photo-slices-fresh-cucumber-white-background.jpg",1600,1167,
